HotelName,City,District,Price,Type,Facilities
Huff Group Hotel,Chitwan,Chitwan,2280,Villa,"Garden, Hot Water, Conference Room"
Himalayan Retreat,Rupandehi,Rupandehi,7199,Boutique Hotel,"Bar, Breakfast, WiFi"
Nepal Comfort Stay,Mugu,Mugu,4146,Cabin,"Conference Room, Parking, Room ServiceFamily Rooms"
Smith-Wood Hotel,Surkhet,Surkhet,1770,Bed and Breakfast,"Swimming Pool, Tea/Coffee Maker, WiFi"
Davis-Stevens Hotel,Dolpa,Dolpa,2599,Cabin,"Conference Room, Room ServiceFamily Rooms, Laundry Service"
Eco Himalaya Lodge,Mugu,Mugu,7631,Guest House,"Breakfast, Hot Water, Conference Room"
"Cohen, Howell and Price Hotel",Kathmandu,Kathmandu,6376,Motel,"Garden, Resturant, WiFi"
"Jones, Clark and Aguilar Hotel",Okhaldhunga,Okhaldhunga,8592,Mountain Lodge,"Room ServiceFamily Rooms, Conference Room, Breakfast"
"Chambers, Walsh and Robertson Hotel",Humla,Humla,7133,Guest House,"Conference Room, Tea/Coffee Maker, Resturant"
Lumbini Heritage Hotel,Kathmandu,Kathmandu,2521,Hostel,"Tea/Coffee Maker, Television, Swimming Pool"
Hoover-Freeman Hotel,Rolpa,Rolpa,3288,Homestay,"Laundry Service, Tea/Coffee Maker, Parking"
Briggs Group Hotel,Bhojpur,Bhojpur,8247,Guest House,"Room ServiceFamily Rooms, Hot Water, Television"
Peaceful Valley Resort,Manang,Manang,5364,Homestay,"Security, Resturant, Tea/Coffee Maker"
Johnston Inc Hotel,Arghakhanchi,Arghakhanchi,2185,Cabin,"WiFi, Room ServiceFamily Rooms, Security"
Annapurna Guest House,Rukum East,Rukum East,3687,Serviced Apartment,"Laundry Service, Parking, Garden"
Bailey-Hughes Hotel,Makwanpur,Makwanpur,2775,Hostel,"Garden, Security, Room ServiceFamily Rooms"
Delgado-Stanley Hotel,Myagdi,Myagdi,8684,Hotel,"Conference Room, Air Conditioning, Laundry Service"
Long LLC Hotel,Ilam,Ilam,6099,Hostel,"Bar, Television, Room ServiceFamily Rooms"
Namaste Homestay,Bhaktapur,Bhaktapur,7983,Hotel,"Conference Room, Swimming Pool, Tea/Coffee Maker"
Annapurna Guest House,Manang,Manang,5519,Guest House,"Hot Water, Conference Room, Bar"
Wyatt LLC Hotel,Jajarkot,Jajarkot,8723,Resort,"Bar, Hot Water, Resturant"
Lumbini Heritage Hotel,Parsa,Parsa,6636,Serviced Apartment,"Bar, Laundry Service, Swimming Pool"
The Yak Lodge,Tanahun,Tanahun,5065,Bed and Breakfast,"Room ServiceFamily Rooms, Parking, Tea/Coffee Maker"
Mountain Sunrise Resort,Jumla,Jumla,4289,Resort,"Security, WiFi, Tea/Coffee Maker"
"Harris, Green and Jimenez Hotel",Dolakha,Dolakha,6069,Eco-lodge,"Security, Tea/Coffee Maker, Air Conditioning"
Annapurna Guest House,Terhathum,Terhathum,5301,Serviced Apartment,"Breakfast, Television, Security"
Hotel Gorkha,Sunsari,Sunsari,5064,Guest House,"Parking, Television, Security"
King-Sanchez Hotel,Manang,Manang,2307,Resort,"Bar, Tea/Coffee Maker, Security"
Everest Base Camp Lodge,Khotang,Khotang,7633,Motel,"Laundry Service, Television, Garden"
Weeks-Vincent Hotel,Sunsari,Sunsari,9345,Serviced Apartment,"WiFi, Television, Breakfast"
"Ford, Williams and Baker Hotel",Myagdi,Myagdi,9142,Villa,"Room ServiceFamily Rooms, Resturant, Conference Room"
Mountain Sunrise Resort,Banke,Banke,7450,Serviced Apartment,"Garden, Laundry Service, Television"
Lumbini Heritage Hotel,Kalikot,Kalikot,5273,Cabin,"Tea/Coffee Maker, Conference Room, Air Conditioning"
"Morse, Sherman and Lopez Hotel",Tanahun,Tanahun,9904,Eco-lodge,"Bar, Swimming Pool, Hot Water"
"Ross, Allen and Franklin Hotel",Walung,Walung,9168,Boutique Hotel,"Garden, WiFi, Swimming Pool"
Namaste Homestay,Dhankuta,Dhankuta,7906,Hotel,"Room ServiceFamily Rooms, WiFi, Parking"
Hotel Janaki Palace,Jajarkot,Jajarkot,6346,Motel,"Parking, Room ServiceFamily Rooms, Resturant"
Nepal Comfort Stay,Bardiya,Bardiya,2372,Motel,"Resturant, WiFi, Bar"
Mountain Sunrise Resort,Arghakhanchi,Arghakhanchi,1426,Eco-lodge,"Air Conditioning, Conference Room, Laundry Service"
Eco Himalaya Lodge,Udayapur,Udayapur,4236,Motel,"Resturant, Garden, Security"
Mountain Sunrise Resort,Myagdi,Myagdi,6473,Villa,"Laundry Service, Hot Water, Bar"
Annapurna Guest House,Bhojpur,Bhojpur,1643,Cabin,"Air Conditioning, Room ServiceFamily Rooms, Breakfast"
English-French Hotel,Gulmi,Gulmi,3445,Homestay,"Laundry Service, Tea/Coffee Maker, Parking"
Hotel Everest View,Bara,Bara,3590,Boutique Hotel,"Resturant, Parking, Hot Water"
Garcia LLC Hotel,Mugu,Mugu,9135,Hotel,"Air Conditioning, Television, Tea/Coffee Maker"
Everest Base Camp Lodge,Mustang,Mustang,6248,Cabin,"Conference Room, Bar, Garden"
Hotel Janaki Palace,Arghakhanchi,Arghakhanchi,4280,Bed and Breakfast,"Hot Water, Resturant, Conference Room"
Everest Base Camp Lodge,Myagdi,Myagdi,9093,Hotel,"Television, Breakfast, Parking"
Prince Inc Hotel,Walung,Walung,7463,Motel,"Swimming Pool, Room ServiceFamily Rooms, Conference Room"
Pokhara Peace Lodge,Kavrepalanchok,Kavrepalanchok,9656,Guest House,"Tea/Coffee Maker, Conference Room, Security"
Hotel Buddha,Lamjung,Lamjung,6213,Motel,"Television, Parking, Air Conditioning"
"Davis, Hubbard and Johnson Hotel",Morang,Morang,5009,Eco-lodge,"Room ServiceFamily Rooms, Bar, Parking"
The Yak Lodge,Taplejung,Taplejung,4366,Villa,"Hot Water, Air Conditioning, WiFi"
Annapurna Guest House,Saptari,Saptari,1697,Homestay,"Conference Room, Air Conditioning, Parking"
"Pittman, Myers and Harmon Hotel",Dadeldhura,Dadeldhura,6807,Homestay,"Conference Room, Garden, Hot Water"
Griffin-Walls Hotel,Terhathum,Terhathum,4001,Resort,"Tea/Coffee Maker, Air Conditioning, Television"
Hotel Gorkha,Dang,Dang,1082,Villa,"Breakfast, Bar, Swimming Pool"
Nepal Comfort Stay,Ilam,Ilam,7655,Serviced Apartment,"Security, Breakfast, Laundry Service"
Parker-Campos Hotel,Taplejung,Taplejung,7455,Eco-lodge,"Resturant, WiFi, Garden"
Peaceful Valley Resort,Kapilvastu,Kapilvastu,7101,Homestay,"Conference Room, Parking, Hot Water"
Johnson-Espinoza Hotel,Lalitpur,Lalitpur,3223,Hostel,"Garden, Tea/Coffee Maker, Swimming Pool"
Mountain Sunrise Resort,Banke,Banke,8867,Cabin,"Air Conditioning, Swimming Pool, Resturant"
Cervantes and Sons Hotel,Kavrepalanchok,Kavrepalanchok,1547,Cabin,"Room ServiceFamily Rooms, Breakfast, Conference Room"
Pokhara Peace Lodge,Sarlahi,Sarlahi,1387,Motel,"Air Conditioning, Hot Water, Swimming Pool"
"Jones, Barnett and Collins Hotel",Gorkha,Gorkha,1285,Guest House,"Tea/Coffee Maker, Resturant, Garden"
White Ltd Hotel,Dang,Dang,3366,Boutique Hotel,"WiFi, Resturant, Security"
Himalayan Retreat,Khotang,Khotang,2356,Guest House,"WiFi, Resturant, Garden"
Hotel Everest View,Jumla,Jumla,9074,Hotel,"Parking, Room ServiceFamily Rooms, Tea/Coffee Maker"
Brown LLC Hotel,Mugu,Mugu,3725,Motel,"Hot Water, Parking, Television"
"Taylor, Dalton and Banks Hotel",Kailali,Kailali,5357,Guest House,"Laundry Service, Resturant, WiFi"
Hotel Janaki Palace,Ramechhap,Ramechhap,4366,Homestay,"Breakfast, Television, Bar"
"Clark, Finley and Hernandez Hotel",Chitwan,Chitwan,1664,Lodge,"Air Conditioning, WiFi, Resturant"
"Doyle, Davis and Mccoy Hotel",Kavrepalanchok,Kavrepalanchok,5258,Guest House,"Television, Tea/Coffee Maker, WiFi"
Sanders-Martinez Hotel,Dhading,Dhading,8130,Serviced Apartment,"Garden, WiFi, Breakfast"
The Yak Lodge,Gulmi,Gulmi,6349,Resort,"Tea/Coffee Maker, Resturant, Air Conditioning"
Namaste Homestay,Bhojpur,Bhojpur,4093,Homestay,"Parking, Swimming Pool, WiFi"
Hotel Janaki Palace,Pyuthan,Pyuthan,2646,Hostel,"Television, Air Conditioning, Tea/Coffee Maker"
Harrison LLC Hotel,Ilam,Ilam,6087,Villa,"Resturant, Parking, Conference Room"
Hawkins-Ramirez Hotel,Kapilvastu,Kapilvastu,7748,Mountain Lodge,"Television, Conference Room, Security"
Davis PLC Hotel,Udayapur,Udayapur,9517,Lodge,"Bar, Breakfast, Laundry Service"
"Davidson, Johnson and Gonzales Hotel",Terhathum,Terhathum,3830,Motel,"Bar, Security, WiFi"
Smith-Gay Hotel,Kalikot,Kalikot,5869,Homestay,"Air Conditioning, Tea/Coffee Maker, Room ServiceFamily Rooms"
Jackson Inc Hotel,Dolakha,Dolakha,4403,Villa,"Air Conditioning, Breakfast, Security"
Johnson Group Hotel,Dang,Dang,3704,Cabin,"Resturant, Garden, Bar"
Gregory-Kennedy Hotel,Pyuthan,Pyuthan,4115,Lodge,"Hot Water, Television, Resturant"
Hotel Everest View,Makwanpur,Makwanpur,6020,Guest House,"Air Conditioning, Television, Bar"
"Craig, Smith and Thomas Hotel",Udayapur,Udayapur,4810,Resort,"Hot Water, Garden, WiFi"
"Alvarez, Mcintyre and Coleman Hotel",Rupandehi,Rupandehi,2298,Lodge,"Resturant, Breakfast, Hot Water"
Stupa View Inn,Taplejung,Taplejung,9649,Homestay,"Swimming Pool, Room ServiceFamily Rooms, Resturant"
Hotel Janaki Palace,Tanahun,Tanahun,6195,Hostel,"Resturant, Security, Swimming Pool"
Stupa View Inn,Ramechhap,Ramechhap,8388,Resort,"Air Conditioning, Tea/Coffee Maker, Security"
Mountain Sunrise Resort,Kanchanpur,Kanchanpur,4254,Bed and Breakfast,"WiFi, Television, Laundry Service"
Hotel Janaki Palace,Bhojpur,Bhojpur,2069,Mountain Lodge,"Room ServiceFamily Rooms, Breakfast, Security"
Kaiser Ltd Hotel,Bhojpur,Bhojpur,6726,Homestay,"Garden, Conference Room, Bar"
Peaceful Valley Resort,Pyuthan,Pyuthan,7102,Mountain Lodge,"Television, Laundry Service, Bar"
"Diaz, Pittman and Long Hotel",Sankhuwasabha,Sankhuwasabha,3037,Resort,"Television, Air Conditioning, Room ServiceFamily Rooms"
"Butler, Washington and Turner Hotel",Syangja,Syangja,6865,Homestay,"Room ServiceFamily Rooms, Laundry Service, Conference Room"
Mayo-Reynolds Hotel,Darchula,Darchula,1636,Hotel,"WiFi, Laundry Service, Air Conditioning"
Eco Himalaya Lodge,Dhading,Dhading,8579,Hotel,"Bar, Parking, Security"
Chapman-Mcguire Hotel,Kanchanpur,Kanchanpur,5146,Resort,"Room ServiceFamily Rooms, Garden, Air Conditioning"
Skinner-Hernandez Hotel,Ramechhap,Ramechhap,1658,Boutique Hotel,"Resturant, Swimming Pool, Garden"
"Campos, Hicks and Yang Hotel",Surkhet,Surkhet,7556,Mountain Lodge,"WiFi, Room ServiceFamily Rooms, Bar"
Watkins Group Hotel,Taplejung,Taplejung,1202,Homestay,"Tea/Coffee Maker, Security, Laundry Service"
Hotel Gorkha,Okhaldhunga,Okhaldhunga,6411,Mountain Lodge,"Tea/Coffee Maker, Television, Hot Water"
"Glenn, Smith and Phillips Hotel",Dhading,Dhading,3782,Lodge,"Garden, Swimming Pool, Breakfast"
Hotel Janaki Palace,Taplejung,Taplejung,7179,Villa,"Tea/Coffee Maker, Security, Conference Room"
Kathmandu Garden Inn,Rukum West,Rukum West,2946,Serviced Apartment,"Bar, Air Conditioning, Security"
Lumbini Heritage Hotel,Dadeldhura,Dadeldhura,9846,Motel,"Bar, Breakfast, Conference Room"
Hotel Everest View,Dolpa,Dolpa,1370,Cabin,"Air Conditioning, Room ServiceFamily Rooms, Laundry Service"
Annapurna Guest House,Palpa,Palpa,3424,Hotel,"Room ServiceFamily Rooms, Swimming Pool, Tea/Coffee Maker"
Beasley PLC Hotel,Kanchanpur,Kanchanpur,3124,Villa,"Laundry Service, Television, Tea/Coffee Maker"
Everest Base Camp Lodge,Sindhuli,Sindhuli,4274,Boutique Hotel,"Air Conditioning, Breakfast, Room ServiceFamily Rooms"
Porter-Christian Hotel,Achham,Achham,2010,Hostel,"Laundry Service, Garden, Hot Water"
Kathmandu Garden Inn,Tanahun,Tanahun,4094,Eco-lodge,"Room ServiceFamily Rooms, Garden, Tea/Coffee Maker"
Hotel Everest View,Dang,Dang,6634,Villa,"Air Conditioning, Resturant, WiFi"
Mountain Sunrise Resort,Dhanusha,Dhanusha,3575,Lodge,"Conference Room, Laundry Service, Security"
Graham-Fisher Hotel,Ramechhap,Ramechhap,1351,Serviced Apartment,"Tea/Coffee Maker, Room ServiceFamily Rooms, Bar"
Mountain Sunrise Resort,Humla,Humla,3422,Eco-lodge,"Laundry Service, Room ServiceFamily Rooms, Hot Water"
Everest Base Camp Lodge,Kailali,Kailali,2838,Serviced Apartment,"Room ServiceFamily Rooms, Security, Air Conditioning"
Hotel Janaki Palace,Wardha,Wardha,1881,Hostel,"Security, Room ServiceFamily Rooms, Conference Room"
Himalayan Retreat,Rupandehi,Rupandehi,6243,Bed and Breakfast,"Parking, Conference Room, Television"
Hotel Janaki Palace,Dang,Dang,6638,Lodge,"Hot Water, Room ServiceFamily Rooms, Tea/Coffee Maker"
Namaste Homestay,Wardha,Wardha,5103,Cabin,"Room ServiceFamily Rooms, Air Conditioning, Television"
Morris LLC Hotel,Dhanusha,Dhanusha,2996,Resort,"Security, Air Conditioning, Resturant"
Porter-Lewis Hotel,Lalitpur,Lalitpur,4262,Hotel,"Resturant, Bar, Security"
"Clark, Santana and Velez Hotel",Chitwan,Chitwan,3156,Lodge,"Security, Air Conditioning, Tea/Coffee Maker"
Himalayan Retreat,Pyuthan,Pyuthan,6099,Cabin,"Resturant, Parking, Room ServiceFamily Rooms"
Annapurna Guest House,Chitwan,Chitwan,4094,Eco-lodge,"Swimming Pool, Parking, Conference Room"
Hotel Everest View,Sindhupalchok,Sindhupalchok,2745,Mountain Lodge,"Tea/Coffee Maker, Breakfast, Air Conditioning"
Harrington Inc Hotel,Dolpa,Dolpa,9237,Hostel,"Parking, Hot Water, Air Conditioning"
Klein PLC Hotel,Achham,Achham,4647,Guest House,"Conference Room, Resturant, Tea/Coffee Maker"
"Ross, Rivera and Bentley Hotel",Gulmi,Gulmi,1120,Resort,"Breakfast, Swimming Pool, WiFi"
Lumbini Heritage Hotel,Kathmandu,Kathmandu,4711,Hotel,"WiFi, Television, Laundry Service"
Himalayan Retreat,Tanahun,Tanahun,4010,Bed and Breakfast,"Security, WiFi, Television"
"Jackson, Romero and Phillips Hotel",Sindhuli,Sindhuli,7859,Boutique Hotel,"Resturant, WiFi, Hot Water"
"Roach, Harvey and Salazar Hotel",Parbat,Parbat,2182,Resort,"Conference Room, Parking, Laundry Service"
Lumbini Heritage Hotel,Mahottari,Mahottari,7931,Bed and Breakfast,"WiFi, Security, Garden"
"Davis, Powell and Johnson Hotel",Sindhupalchok,Sindhupalchok,8563,Guest House,"Bar, Garden, Room ServiceFamily Rooms"
Stupa View Inn,Dadeldhura,Dadeldhura,2325,Eco-lodge,"Hot Water, Conference Room, WiFi"
Cummings Inc Hotel,Kanchanpur,Kanchanpur,3465,Villa,"Room ServiceFamily Rooms, Security, Bar"
Namaste Homestay,Bhaktapur,Bhaktapur,6942,Boutique Hotel,"Parking, Resturant, Television"
Green Ltd Hotel,Chitwan,Chitwan,4835,Lodge,"Security, Swimming Pool, Television"
"Robinson, Ross and Villa Hotel",Arghakhanchi,Arghakhanchi,7265,Boutique Hotel,"Resturant, Garden, Swimming Pool"
Miller Ltd Hotel,Chitwan,Chitwan,3236,Guest House,"Air Conditioning, Resturant, Security"
Hamilton-Padilla Hotel,Terhathum,Terhathum,7389,Serviced Apartment,"Resturant, Hot Water, Air Conditioning"
Kathmandu Garden Inn,Walung,Walung,3543,Resort,"Air Conditioning, Resturant, Parking"
"Butler, Martin and Harris Hotel",Saptari,Saptari,3685,Motel,"Parking, Tea/Coffee Maker, Room ServiceFamily Rooms"
Perez Ltd Hotel,Rukum West,Rukum West,1918,Mountain Lodge,"Tea/Coffee Maker, Air Conditioning, Room ServiceFamily Rooms"
Himalayan Retreat,Jhapa,Jhapa,3459,Boutique Hotel,"Air Conditioning, Bar, Resturant"
Banks-Riggs Hotel,Rautahat,Rautahat,4686,Hostel,"Room ServiceFamily Rooms, Garden, Bar"
"Gibbs, Schultz and Williams Hotel",Bara,Bara,7750,Hotel,"Security, Parking, Garden"
Mountain Sunrise Resort,Mugu,Mugu,8173,Motel,"Resturant, Hot Water, Parking"
Everest Base Camp Lodge,Dhankuta,Dhankuta,3985,Resort,"Laundry Service, Bar, Tea/Coffee Maker"
Acosta PLC Hotel,Rukum West,Rukum West,5378,Villa,"Room ServiceFamily Rooms, WiFi, Tea/Coffee Maker"
Clayton-Zamora Hotel,Jumla,Jumla,3732,Hotel,"Breakfast, Hot Water, Resturant"
Edwards-Palmer Hotel,Pyuthan,Pyuthan,7791,Villa,"Resturant, Security, Tea/Coffee Maker"
Peaceful Valley Resort,Jajarkot,Jajarkot,9199,Resort,"Tea/Coffee Maker, Laundry Service, Resturant"
Mountain Sunrise Resort,Morang,Morang,4315,Cabin,"Parking, Security, Laundry Service"
Namaste Homestay,Pyuthan,Pyuthan,7985,Motel,"Television, Breakfast, Garden"
Buckley-Collier Hotel,Nawalpur,Nawalpur,1566,Cabin,"Laundry Service, Conference Room, Garden"
Pokhara Peace Lodge,Dhanusha,Dhanusha,7506,Homestay,"WiFi, Tea/Coffee Maker, Room ServiceFamily Rooms"
Hotel Buddha,Syangja,Syangja,1056,Eco-lodge,"Hot Water, Room ServiceFamily Rooms, Garden"
Barry PLC Hotel,Doti,Doti,1659,Serviced Apartment,"Garden, Breakfast, Tea/Coffee Maker"
Mountain Sunrise Resort,Bara,Bara,4112,Bed and Breakfast,"Conference Room, WiFi, Bar"
Hotel Janaki Palace,Bhojpur,Bhojpur,6111,Mountain Lodge,"Conference Room, Room ServiceFamily Rooms, Television"
Olson Ltd Hotel,Humla,Humla,5273,Bed and Breakfast,"Tea/Coffee Maker, Conference Room, Breakfast"
The Yak Lodge,Bardiya,Bardiya,8577,Homestay,"Breakfast, Parking, Swimming Pool"
"Stewart, Galloway and Norris Hotel",Palpa,Palpa,1943,Hotel,"Laundry Service, Bar, Parking"
Evans-Nguyen Hotel,Rukum East,Rukum East,5895,Motel,"Security, Air Conditioning, Conference Room"
Eco Himalaya Lodge,Taplejung,Taplejung,1450,Mountain Lodge,"Hot Water, Room ServiceFamily Rooms, Bar"
Namaste Homestay,Kapilvastu,Kapilvastu,3902,Homestay,"Resturant, Swimming Pool, Garden"
Mcguire and Sons Hotel,Morang,Morang,8826,Eco-lodge,"Garden, Breakfast, Conference Room"
Smith-Gibson Hotel,Rukum East,Rukum East,1982,Hostel,"Tea/Coffee Maker, Room ServiceFamily Rooms, Bar"
Brown-Edwards Hotel,Taplejung,Taplejung,1343,Cabin,"Room ServiceFamily Rooms, Hot Water, Security"
"Reeves, Reeves and Nelson Hotel",Kapilvastu,Kapilvastu,1874,Mountain Lodge,"Television, Breakfast, Parking"
Nepal Comfort Stay,Jhapa,Jhapa,6210,Hostel,"Hot Water, Bar, Garden"
Foley Inc Hotel,Okhaldhunga,Okhaldhunga,3682,Motel,"Swimming Pool, Security, Garden"
Stupa View Inn,Terhathum,Terhathum,1082,Hotel,"Parking, Garden, Security"
Pokhara Peace Lodge,Bhojpur,Bhojpur,6619,Mountain Lodge,"Conference Room, Hot Water, Laundry Service"
"Martin, Barrett and Anderson Hotel",Sindhupalchok,Sindhupalchok,4051,Villa,"Room ServiceFamily Rooms, Television, Conference Room"
"Patel, Griffin and Riley Hotel",Dhanusha,Dhanusha,2511,Villa,"Bar, Laundry Service, WiFi"
Everest Base Camp Lodge,Lalitpur,Lalitpur,3723,Homestay,"Garden, Hot Water, Breakfast"
Campbell-Evans Hotel,Bardiya,Bardiya,8536,Hostel,"Laundry Service, Room ServiceFamily Rooms, Hot Water"
Eco Himalaya Lodge,Gorkha,Gorkha,7516,Homestay,"Resturant, Laundry Service, Hot Water"
Stupa View Inn,Kathmandu,Kathmandu,8049,Motel,"Television, Garden, Hot Water"
Harmon-Wallace Hotel,Surkhet,Surkhet,9915,Mountain Lodge,"Resturant, Breakfast, Swimming Pool"
"Turner, Murray and Juarez Hotel",Dang,Dang,5913,Cabin,"Tea/Coffee Maker, Hot Water, Laundry Service"
Eco Himalaya Lodge,Syangja,Syangja,9167,Lodge,"Breakfast, Bar, WiFi"
Fowler and Sons Hotel,Mugu,Mugu,8584,Mountain Lodge,"Air Conditioning, Swimming Pool, Conference Room"
Nepal Comfort Stay,Saptari,Saptari,7710,Serviced Apartment,"Garden, Swimming Pool, Television"
Lumbini Heritage Hotel,Kapilvastu,Kapilvastu,5461,Resort,"Security, Swimming Pool, Laundry Service"
Hughes and Sons Hotel,Parbat,Parbat,8202,Cabin,"Hot Water, Laundry Service, Security"
Hubbard-Morris Hotel,Rolpa,Rolpa,6219,Bed and Breakfast,"Television, Air Conditioning, Bar"
Flores-Clark Hotel,Wardha,Wardha,6719,Bed and Breakfast,"Bar, Tea/Coffee Maker, Laundry Service"
Himalayan Retreat,Mahottari,Mahottari,9933,Boutique Hotel,"Tea/Coffee Maker, Security, Resturant"
Garrison LLC Hotel,Bara,Bara,9812,Bed and Breakfast,"Tea/Coffee Maker, Television, Laundry Service"
Annapurna Guest House,Lalitpur,Lalitpur,2557,Hotel,"WiFi, Bar, Tea/Coffee Maker"
Hotel Janaki Palace,Dang,Dang,4044,Serviced Apartment,"Hot Water, Swimming Pool, Bar"
Henson PLC Hotel,Kalikot,Kalikot,8869,Hostel,"Television, Bar, Resturant"
Kathmandu Garden Inn,Chitwan,Chitwan,1610,Bed and Breakfast,"WiFi, Television, Tea/Coffee Maker"
Annapurna Guest House,Solukhumbu,Solukhumbu,1473,Serviced Apartment,"Air Conditioning, Breakfast, Parking"
Nepal Comfort Stay,Jumla,Jumla,3741,Cabin,"Resturant, Air Conditioning, Television"
Stupa View Inn,Myagdi,Myagdi,4373,Guest House,"Bar, Conference Room, Air Conditioning"
"Garza, Osborn and Wong Hotel",Sunsari,Sunsari,5838,Hostel,"Tea/Coffee Maker, WiFi, Swimming Pool"
Stupa View Inn,Dhanusha,Dhanusha,3379,Motel,"Resturant, Garden, Television"
"Holloway, Taylor and Allison Hotel",Lalitpur,Lalitpur,4432,Lodge,"Bar, Tea/Coffee Maker, Laundry Service"
Hotel Everest View,Myagdi,Myagdi,9346,Resort,"Television, Tea/Coffee Maker, Swimming Pool"
"Solis, Delgado and Chambers Hotel",Udayapur,Udayapur,2963,Guest House,"Air Conditioning, Television, Parking"
Barker-Edwards Hotel,Kalikot,Kalikot,7141,Hotel,"Conference Room, Room ServiceFamily Rooms, Hot Water"
Thompson and Sons Hotel,Walung,Walung,7860,Hostel,"Air Conditioning, Swimming Pool, Conference Room"
Romero-Johnson Hotel,Gorkha,Gorkha,9959,Motel,"Laundry Service, Hot Water, Room ServiceFamily Rooms"
Hotel Everest View,Bhaktapur,Bhaktapur,9991,Hostel,"Room ServiceFamily Rooms, Breakfast, Laundry Service"
Riley-Williamson Hotel,Sarlahi,Sarlahi,7277,Motel,"Television, Garden, Hot Water"
Fowler Group Hotel,Nawalpur,Nawalpur,9305,Resort,"Swimming Pool, Television, Hot Water"
Hotel Everest View,Sarlahi,Sarlahi,4826,Villa,"Bar, Swimming Pool, Hot Water"
The Yak Lodge,Okhaldhunga,Okhaldhunga,8957,Boutique Hotel,"Bar, Garden, Security"
Lumbini Heritage Hotel,Solukhumbu,Solukhumbu,3868,Motel,"Air Conditioning, Security, Bar"
Hotel Everest View,Kavrepalanchok,Kavrepalanchok,2328,Boutique Hotel,"Resturant, WiFi, Hot Water"
"Pierce, Cooke and Rodriguez Hotel",Ramechhap,Ramechhap,2679,Hostel,"Parking, Tea/Coffee Maker, Laundry Service"
Everest Base Camp Lodge,Dadeldhura,Dadeldhura,8719,Homestay,"Room ServiceFamily Rooms, Tea/Coffee Maker, WiFi"
Nepal Comfort Stay,Achham,Achham,2272,Resort,"Television, Breakfast, Room ServiceFamily Rooms"
